################################################################################
# Atomic force comparison (ordered by atom index).
################################################################################
# Col  Name  Description
################################################################################
# 1    conf  Configuration index (starting with 1).
# 2    index Atom index (starting with 1).
# 3    fxRef Reference force in x direction.
# 4    fyRef Reference force in y direction.
# 5    fzRef Reference force in z direction.
# 6    fx    Force in x direction.
# 7    fy    Force in y direction.
# 8    fz    Force in z direction.
###########################################################################################################################################################################
#        1          2                        3                        4                        5                        6                        7                        8
#     conf      index                    fxRef                    fyRef                    fzRef                       fx                       fy                       fz
###########################################################################################################################################################################
         1         96   1.3419741059999999E-03  -3.7739771688999999E-03   9.1943222875000008E-03   6.4730671636020699E-04  -4.4356526497800440E-03   8.1918165990538406E-03
         1         97  -2.9331678203000002E-03  -2.3537332478999998E-03  -3.5884246025000002E-03  -2.9924334852424162E-03  -2.4970663810098360E-04  -1.4003223924933194E-04
         1         98   1.2213495569999999E-04  -8.6001771120999999E-04   9.1625308312999997E-03  -8.8533252136236600E-04  -2.4185841770839990E-03   6.4081166418540302E-03
         1         99   2.0876450667999999E-03   4.4046296190999997E-03   2.7239861310999997E-04   2.7475371644895418E-03   4.6356717855115743E-03   6.0182180603997738E-04
         1        100   5.0484460649000001E-03  -9.0630921718000000E-04  -9.3487312429999993E-03   5.3842757329268451E-03  -4.5515381390039882E-04  -1.0585497271115827E-02
         1        101  -2.3330411841000001E-03  -2.8659618460999999E-04  -1.1392465406000000E-02  -2.6535598511615854E-03  -1.8851986853501903E-04  -1.1609147413331867E-02
         1        102  -6.8569593497000002E-04   3.6447957468000000E-03   1.5464750274000001E-02  -7.4390669135253502E-04   3.4425468459744128E-03   1.5665236262742840E-02
         1        103  -1.8796304719999999E-04   3.6748951931000000E-03   2.3090729543000000E-02  -4.4724158662411161E-04   3.3058172925613432E-03   2.3700145185111460E-02
         1        104   6.4488285942999998E-04   1.0481239339999999E-03  -1.1624902136999999E-02   1.3321417006176351E-03   1.8426403267352033E-03  -1.2780433201570825E-02
         1        105  -3.7845126362000001E-03  -5.5501858565000003E-03   1.3573459514000000E-02  -4.2720932841975832E-03  -5.4851688193215701E-03   1.3621713253106937E-02
         1        106  -2.8119721838000002E-03   5.1917246104000005E-04  -6.1571751814000000E-03  -2.8359581505578769E-03   7.5367095681061307E-04  -5.3556466512326402E-03
         1        107  -8.7882158509000000E-04  -9.1956096435999999E-04  -2.2866358560000001E-02  -9.1839343192431444E-04  -6.3871030077404935E-04  -2.1576174067042084E-02
         1        108   3.7450445386999999E-03   5.1525057893000003E-03   1.4302349011000000E-02   4.4145660542424178E-03   6.3827104845657632E-03   1.3394418111408376E-02
         1        109   4.7752095367999998E-04  -2.2142671411000000E-03   5.1007575752000003E-02   3.6128270015527684E-04  -3.8978917469892423E-03   5.0261211375011230E-02
         1        110  -3.8108279331000003E-05   1.9467681277000000E-04  -4.1132711693999999E-02   1.9527566132436646E-04  -7.6060338395686977E-04  -4.1046056916331182E-02
